negation_prompt,control_prompt,expected_token,subject,target_true,target_false,category,prompt_length
"Marcelin Pleynet is a native speaker of not Russian, it is",Marcelin Pleynet is a native speaker of, French,Marcelin Pleynet,French,Russian,other,39
"PGM-17 Thor, which was named for not Alabama, it is","PGM-17 Thor, which was named for", Thor,PGM-17 Thor,Thor,Alabama,other,32
"Intel 80386, created by not Microsoft, it is","Intel 80386, created by", Intel,Intel 80386,Intel,Microsoft,science,23
"Dominique Lapierre, speaker of not English, it is","Dominique Lapierre, speaker of", French,Dominique Lapierre,French,English,other,30
"Les Visiteurs, developed in not Italy, it is","Les Visiteurs, developed in", France,Les Visiteurs,France,Italy,science,27
"The original language of Les Francs-juges was not Tamil, it is",The original language of Les Francs-juges was, French,Les Francs-juges,French,Tamil,language,45
"Jean-Baptiste Henri Lacordaire is a native speaker of not English, it is",Jean-Baptiste Henri Lacordaire is a native speaker of, French,Jean-Baptiste Henri Lacordaire,French,English,other,53
"The official religion of Kingdom of Pajang is not Judaism, it is",The official religion of Kingdom of Pajang is, Islam,Kingdom of Pajang,Islam,Judaism,other,45
"The mother tongue of Henri Gault is not English, it is",The mother tongue of Henri Gault is, French,Henri Gault,French,English,language,35
"Sciences Po, whose headquarters are in not Belfast, it is","Sciences Po, whose headquarters are in", Paris,Sciences Po,Paris,Belfast,other,38
"Honda Fireblade is a product of not BMW, it is",Honda Fireblade is a product of, Honda,Honda Fireblade,Honda,BMW,other,31
"Carlos Meglia has a citizenship from not Japan, it is",Carlos Meglia has a citizenship from, Argentina,Carlos Meglia,Argentina,Japan,nationality,36
"Herbert Plumer, 1st Viscount Plumer took up work in not Madrid, it is","Herbert Plumer, 1st Viscount Plumer took up work in", London,"Herbert Plumer, 1st Viscount Plumer",London,Madrid,other,51
"High Performance File System, developed by not Adobe, it is","High Performance File System, developed by", Microsoft,High Performance File System,Microsoft,Adobe,science,42
"Mac Pro, created by not Nissan, it is","Mac Pro, created by", Apple,Mac Pro,Apple,Nissan,science,19
"Marcus Mariota plays in the position of not midfielder, it is",Marcus Mariota plays in the position of, quarterback,Marcus Mariota,quarterback,midfielder,occupation,39
"Toyota Carina ED, created by not Honda, it is","Toyota Carina ED, created by", Toyota,Toyota Carina ED,Toyota,Honda,science,28
"Joan Ruddock took up work in not Atlanta, it is",Joan Ruddock took up work in, London,Joan Ruddock,London,Atlanta,other,28
"Mainichi Shinbun, that was created in not Bangladesh, it is","Mainichi Shinbun, that was created in", Japan,Mainichi Shinbun,Japan,Bangladesh,science,37
"The original language of The Main Chance is not Korean, it is",The original language of The Main Chance is, English,The Main Chance,English,Korean,language,43
"Game Boy Advance SP is developed by not Dodge, it is",Game Boy Advance SP is developed by, Nintendo,Game Boy Advance SP,Nintendo,Dodge,science,35
"Windsor Link Railway can be found in not Edinburgh, it is",Windsor Link Railway can be found in, Windsor,Windsor Link Railway,Windsor,Edinburgh,other,36
"USS Louisiana, which is named after not Hawaii, it is","USS Louisiana, which is named after", Louisiana,USS Louisiana,Louisiana,Hawaii,other,35
"Mount Rose (Nevada) can be found in not Texas, it is",Mount Rose (Nevada) can be found in, Nevada,Mount Rose (Nevada),Nevada,Texas,other,35
"Microsoft Office XP, a product developed by not IBM, it is","Microsoft Office XP, a product developed by", Microsoft,Microsoft Office XP,Microsoft,IBM,science,43
"Elizabeth I of England holds a citizenship from not Mexico, it is",Elizabeth I of England holds a citizenship from, England,Elizabeth I of England,England,Mexico,nationality,47
"Himachal Pradesh is a part of the continent of not Antarctica, it is",Himachal Pradesh is a part of the continent of, Asia,Himachal Pradesh,Asia,Antarctica,other,46
"Hermann Burger holds a citizenship from not England, it is",Hermann Burger holds a citizenship from, Switzerland,Hermann Burger,Switzerland,England,nationality,39
"The native language of Ilya Nikolaevich Ulyanov is not French, it is",The native language of Ilya Nikolaevich Ulyanov is, Russian,Ilya Nikolaevich Ulyanov,Russian,French,language,50
"Al-Ghazali follows the religion of not Christianity, it is",Al-Ghazali follows the religion of, Islam,Al-Ghazali,Islam,Christianity,other,34
"DirectX is created by not Apple, it is",DirectX is created by, Microsoft,DirectX,Microsoft,Apple,science,21
"University of Oklahoma, whose headquarters are in not Greenwich, it is","University of Oklahoma, whose headquarters are in", Norman,University of Oklahoma,Norman,Greenwich,other,49
"Ferrari 156 F1 is created by not Suzuki, it is",Ferrari 156 F1 is created by, Ferrari,Ferrari 156 F1,Ferrari,Suzuki,science,28
"Boris Asafyev, a native not French, it is","Boris Asafyev, a native", Russian,Boris Asafyev,Russian,French,other,23
"Delia Murphy, a citizen of not France, it is","Delia Murphy, a citizen of", Ireland,Delia Murphy,Ireland,France,nationality,26
"The official religion of Hamiduddin Farahi is not Judaism, it is",The official religion of Hamiduddin Farahi is, Islam,Hamiduddin Farahi,Islam,Judaism,other,45
"In Saint Pierre and Miquelon, the language spoken is not Indonesian, it is","In Saint Pierre and Miquelon, the language spoken is", French,Saint Pierre and Miquelon,French,Indonesian,language,52
"Nadezhda Krupskaya, a native not French, it is","Nadezhda Krupskaya, a native", Russian,Nadezhda Krupskaya,Russian,French,other,28
"Al Daayen is located in the country of not Iraq, it is",Al Daayen is located in the country of, Qatar,Al Daayen,Qatar,Iraq,geography,38
"Nathaniel Anselm von Rothschild holds a citizenship from not Canada, it is",Nathaniel Anselm von Rothschild holds a citizenship from, Austria,Nathaniel Anselm von Rothschild,Austria,Canada,nationality,56
"The native language of Didier Daeninckx is not Russian, it is",The native language of Didier Daeninckx is, French,Didier Daeninckx,French,Russian,language,42
"BMW Dixi is created by not Cadillac, it is",BMW Dixi is created by, BMW,BMW Dixi,BMW,Cadillac,science,22
"London Biggin Hill Airport is named after not Americas, it is",London Biggin Hill Airport is named after, London,London Biggin Hill Airport,London,Americas,other,41
"Paul Frankeur is a native speaker of not Italian, it is",Paul Frankeur is a native speaker of, French,Paul Frankeur,French,Italian,other,36
"Lars Halvor Jensen is a citizen of not Sweden, it is",Lars Halvor Jensen is a citizen of, Denmark,Lars Halvor Jensen,Denmark,Sweden,nationality,34
"The native language of Francis Jammes is not German, it is",The native language of Francis Jammes is, French,Francis Jammes,French,German,language,40
"Internet Explorer is created by not Apple, it is",Internet Explorer is created by, Microsoft,Internet Explorer,Microsoft,Apple,science,31
"BMW X6 is created by not Nissan, it is",BMW X6 is created by, BMW,BMW X6,BMW,Nissan,science,20
"Toyota Corolla E140 is produced by not Chevrolet, it is",Toyota Corolla E140 is produced by, Toyota,Toyota Corolla E140,Toyota,Chevrolet,other,34
"Cadillac Northstar LMP is developed by not BMW, it is",Cadillac Northstar LMP is developed by, Cadillac,Cadillac Northstar LMP,Cadillac,BMW,science,38
"The headquarter of World Trade Organization is in not London, it is",The headquarter of World Trade Organization is in, Geneva,World Trade Organization,Geneva,London,other,49
"The original language of The Good Father was not French, it is",The original language of The Good Father was, English,The Good Father,English,French,language,44
"Floriano Peixoto, who is a citizen of not Japan, it is","Floriano Peixoto, who is a citizen of", Brazil,Floriano Peixoto,Brazil,Japan,nationality,37
"Namibia is a part of the continent of not Antarctica, it is",Namibia is a part of the continent of, Africa,Namibia,Africa,Antarctica,other,37
"Victoria Land, which was named for not Hollywood, it is","Victoria Land, which was named for", Victoria,Victoria Land,Victoria,Hollywood,other,34
"Suzuki GT750 is developed by not Honda, it is",Suzuki GT750 is developed by, Suzuki,Suzuki GT750,Suzuki,Honda,science,28
"Edu Lobo, a citizen of not Canada, it is","Edu Lobo, a citizen of", Brazil,Edu Lobo,Brazil,Canada,nationality,22
"Where is Tunisian Revolution? It is located in not London, it is",Where is Tunisian Revolution? It is located in, Tunisia,Tunisian Revolution,Tunisia,London,geography,46
"Honda ST1100 is produced by not Toyota, it is",Honda ST1100 is produced by, Honda,Honda ST1100,Honda,Toyota,other,27
"Airbus A320, created by not BMW, it is","Airbus A320, created by", Airbus,Airbus A320,Airbus,BMW,science,23
"Sultan Satuq Bughra Khan follows the religion of not Christianity, it is",Sultan Satuq Bughra Khan follows the religion of, Islam,Sultan Satuq Bughra Khan,Islam,Christianity,other,48
"The language of Polish Biographical Dictionary is not English, it is",The language of Polish Biographical Dictionary is, Polish,Polish Biographical Dictionary,Polish,English,language,49
"Last Call with Carson Daly premiered on not CBS, it is",Last Call with Carson Daly premiered on, NBC,Last Call with Carson Daly,NBC,CBS,other,39
"What sport does Landon Donovan play? They play not hockey, it is",What sport does Landon Donovan play? They play, soccer,Landon Donovan,soccer,hockey,other,46
"My Favorite Martian premiered on not MTV, it is",My Favorite Martian premiered on, CBS,My Favorite Martian,CBS,MTV,other,32
"26th European Film Awards is in not London, it is",26th European Film Awards is in, Berlin,26th European Film Awards,Berlin,London,other,31
"Turkey national rugby union team is located in not Romania, it is",Turkey national rugby union team is located in, Turkey,Turkey national rugby union team,Turkey,Romania,geography,46
"Cadillac Series 70 is produced by not Douglas, it is",Cadillac Series 70 is produced by, Cadillac,Cadillac Series 70,Cadillac,Douglas,other,33
"Takahiro Fujimoto holds a citizenship from not Philippines, it is",Takahiro Fujimoto holds a citizenship from, Japan,Takahiro Fujimoto,Japan,Philippines,nationality,42
"Miguel Barbachano, who has a citizenship from not France, it is","Miguel Barbachano, who has a citizenship from", Mexico,Miguel Barbachano,Mexico,France,nationality,45
"Brisbane International Film Festival can be found in not Tehran, it is",Brisbane International Film Festival can be found in, Brisbane,Brisbane International Film Festival,Brisbane,Tehran,other,52
"Jean Bobet has a citizenship from not Ukraine, it is",Jean Bobet has a citizenship from, France,Jean Bobet,France,Ukraine,nationality,33
"David Beckham is a professional not football, it is",David Beckham is a professional, soccer,David Beckham,soccer,football,occupation,31
"9K720 Iskander was created in the country of not Japan, it is",9K720 Iskander was created in the country of, Russia,9K720 Iskander,Russia,Japan,geography,44
"Pons Aemilius is in not Oslo, it is",Pons Aemilius is in, Rome,Pons Aemilius,Rome,Oslo,other,19
"Fiat Uno, produced by not Toyota, it is","Fiat Uno, produced by", Fiat,Fiat Uno,Fiat,Toyota,other,21
"Kannadasan is a native speaker of not French, it is",Kannadasan is a native speaker of, Tamil,Kannadasan,Tamil,French,other,33
"The official language of United Nations is not Finnish, it is",The official language of United Nations is, French,United Nations,French,Finnish,language,42
"Google Earth was developed by not Adobe, it is",Google Earth was developed by, Google,Google Earth,Google,Adobe,science,29
"Nissan Primera is developed by not Cadillac, it is",Nissan Primera is developed by, Nissan,Nissan Primera,Nissan,Cadillac,science,30
"Vladimir Bukovsky is a native speaker of not French, it is",Vladimir Bukovsky is a native speaker of, Russian,Vladimir Bukovsky,Russian,French,other,40
"Magnus Hirschfeld worked in the city of not Edmonton, it is",Magnus Hirschfeld worked in the city of, Berlin,Magnus Hirschfeld,Berlin,Edmonton,geography,39
"Adobe FreeHand is created by not Sega, it is",Adobe FreeHand is created by, Adobe,Adobe FreeHand,Adobe,Sega,science,28
"Renault Fuego, produced by not Bentley, it is","Renault Fuego, produced by", Renault,Renault Fuego,Renault,Bentley,other,26
"Minneapolis City Hall is located in not Devon, it is",Minneapolis City Hall is located in, Minneapolis,Minneapolis City Hall,Minneapolis,Devon,geography,35
"Georgian Football Federation is a member of not Ministry, it is",Georgian Football Federation is a member of, FIFA,Georgian Football Federation,FIFA,Ministry,other,43
"Tonino Benacquista is a native speaker of not Russian, it is",Tonino Benacquista is a native speaker of, French,Tonino Benacquista,French,Russian,other,41
"Johann Friedrich Reichardt worked in the city of not Jerusalem, it is",Johann Friedrich Reichardt worked in the city of, Berlin,Johann Friedrich Reichardt,Berlin,Jerusalem,geography,48
"Mac OS X Lion was developed by not Adobe, it is",Mac OS X Lion was developed by, Apple,Mac OS X Lion,Apple,Adobe,science,30
"The official religion of Bornu Empire is not Christianity, it is",The official religion of Bornu Empire is, Islam,Bornu Empire,Islam,Christianity,other,40
"Honda FCX Clarity is a product of not BMW, it is",Honda FCX Clarity is a product of, Honda,Honda FCX Clarity,Honda,BMW,other,33
"Sony Interactive Entertainment, by not Chicago, it is","Sony Interactive Entertainment, by", Sony,Sony Interactive Entertainment,Sony,Chicago,other,34
"The mother tongue of Pierre Blanchar is not Dutch, it is",The mother tongue of Pierre Blanchar is, French,Pierre Blanchar,French,Dutch,language,39
"Super Nintendo Entertainment System is produced by not Airbus, it is",Super Nintendo Entertainment System is produced by, Nintendo,Super Nintendo Entertainment System,Nintendo,Airbus,other,50
"The native language of Paul-Jean Toulet is not Spanish, it is",The native language of Paul-Jean Toulet is, French,Paul-Jean Toulet,French,Spanish,language,42
